User: USER;Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\;Test run no.: 11736
Test name: Max-OPA2;Date: 2022-09-08;Time: 16:59:04

ID1: 220908 tube ads ABm1-40;ID2: Wizard script `max-OPA`;ID3: unmerged;
Fluorescence (FI), multichromatic

Group;Well;Content; Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1);
D;D05;Sample X1;4185;5449;6000;6029;6141;6182;6317;6299;6342;6357;6456;6294;6268;6437;6321;6242;
D;D06;Sample X2;3538;5162;5724;5876;6001;6017;6105;6126;6176;6154;6189;6089;6132;6166;6115;5994;
D;D07;Sample X3;5329;5884;6113;6087;6185;6212;6363;6291;6327;6357;6355;6260;6292;6332;6283;6189;
D;D08;Sample X4;6066;7298;7460;7485;7594;7498;7673;7617;7632;7609;7647;7553;7565;7515;7438;7328;
D;H01;Sample X1;3595;5545;6011;6120;6357;6315;6390;6286;6277;6228;6324;6253;6237;6260;6171;6139;
D;H02;Sample X2;3467;4934;5468;5550;5730;5770;5860;5838;5874;5849;5888;5802;5841;5844;5763;5730;
D;H03;Sample X3;3537;5043;5606;5670;5777;5843;5921;5877;5935;5918;5943;5880;5872;5855;5843;5764;
D;H04;Sample X4;4236;5594;5985;5981;6103;6151;6219;6199;6191;6182;6238;6167;6154;6169;6121;6076;
P;B05;Sample X1;5345;6816;7009;7049;7224;7145;7357;7325;7388;7280;7350;7221;7187;7235;7165;7075;
P;B06;Sample X2;4723;6225;6551;6595;6791;6818;6923;6948;6945;7006;6938;6881;6881;6894;6830;6731;
P;B07;Sample X3;5405;6199;6375;6528;6615;6588;6757;6695;6692;6703;6687;6585;6657;6582;6559;6514;
P;B08;Sample X4;5287;6070;6318;6384;6440;6401;6526;6541;6466;6583;6587;6386;6499;6473;6439;6280;
P;C01;Sample X1;6980;8576;8730;8796;8808;8753;8813;8736;8794;8673;8696;8610;8630;8592;8545;8375;
P;C02;Sample X2;4817;6748;7154;7222;7288;7367;7456;7482;7445;7367;7458;7329;7339;7351;7246;7130;
P;C03;Sample X3;4431;6701;7644;7667;7848;7783;7900;7866;7922;7808;7837;7793;7721;7702;7673;7589;
P;C04;Sample X4;5164;6201;6468;6555;6635;6666;6774;6788;6778;6756;6785;6687;6728;6697;6711;6628;
P;F01;Sample X1;3933;5989;6292;6397;6535;6628;6725;6734;6809;6715;6796;6671;6716;6679;6646;6513;
P;F02;Sample X2;4130;6030;6372;6518;6637;6633;6809;6843;6865;6865;6814;6770;6752;6768;6743;6622;
P;F03;Sample X3;4280;6428;6830;6886;7037;7073;7199;7218;7232;7190;7248;7095;7118;7138;7052;7003;
P;F04;Sample X4;4115;5781;6268;6411;6558;6579;6717;6701;6673;6682;6712;6630;6614;6638;6587;6548;
R;E05;Standard S1;6941;9843;10240;10474;10682;10807;11054;10926;11005;10952;10992;10860;10885;10725;10721;10502;
R;E06;Standard S2;4646;6458;6799;6863;7014;7022;7135;7141;7156;7107;7179;7054;7130;7108;7022;6871;
R;E07;Standard S3;3739;4731;4995;5040;5132;5100;5130;5113;5154;5104;5123;5077;5108;5086;5024;5003;
R;E08;Standard S4;3792;4186;4368;4316;4386;4279;4338;4288;4305;4266;4316;4230;4272;4291;4247;4206;
R;F05;Standard S5;3002;3578;3779;3813;3836;3804;3860;3809;3853;3844;3878;3804;3856;3872;3860;3814;
R;F06;Standard S6;3838;5101;5572;5751;5776;5741;5780;5802;5882;5941;5948;5844;5915;5950;5843;5732;
R;F07;Standard S7;2727;3192;3399;3433;3485;3387;3382;3417;3416;3409;3435;3393;3421;3444;3425;3398;
R;F08;Standard S8;2783;3165;3325;3356;3382;3344;3349;3341;3318;3345;3377;3330;3380;3379;3357;3345;
R;G05;Blank B;2929;3265;3464;3469;3468;3412;3406;3395;3407;3381;3421;3370;3437;3422;3428;3379;
R;G06;Blank B;2682;2997;3187;3252;3267;3223;3254;3240;3283;3285;3297;3260;3260;3277;3284;3221;
R;G07;Blank B;2632;2973;3192;3249;3265;3258;3261;3266;3266;3273;3333;3242;3306;3342;3301;3273;
R;G08;Blank B;2909;3197;3311;3249;3251;3205;3223;3202;3200;3216;3233;3223;3231;3262;3220;3190;
R;H05;Blank B;2769;3167;3379;3381;3395;3317;3379;3307;3311;3317;3319;3352;3345;3306;3339;3305;
R;H06;Blank B;2766;3101;3356;3326;3348;3282;3334;3294;3314;3309;3305;3281;3302;3329;3311;3269;
R;H07;Blank B;3394;4061;4401;4421;4400;4333;4332;4307;4259;4224;4241;4184;4217;4258;4174;4143;
R;H08;Blank B;2783;3124;3289;3297;3288;3200;3258;3224;3250;3230;3265;3205;3237;3262;3239;3221;
S;C05;Sample X1;5812;6357;6568;6607;6686;6667;6732;6753;6807;6774;6810;6715;6692;6749;6687;6616;
S;C06;Sample X2;4713;5540;5795;5817;5950;5912;6047;6111;6167;6140;6200;6151;6146;6153;6096;6020;
S;C07;Sample X3;4575;5926;6210;6281;6332;6378;6491;6481;6493;6499;6543;6429;6455;6442;6396;6295;
S;C08;Sample X4;5261;5954;6155;6228;6346;6273;6470;6458;6406;6445;6427;6334;6400;6392;6359;6250;
S;D01;Sample X1;5179;5876;6116;6185;6293;6256;6365;6352;6421;6366;6376;6318;6317;6281;6269;6207;
S;D02;Sample X2;3535;4929;5385;5469;5672;5710;5812;5863;5935;5898;5943;5890;5927;5924;5889;5806;
S;D03;Sample X3;4488;5198;5456;5485;5582;5651;5771;5724;5779;5778;5828;5754;5782;5798;5784;5683;
S;D04;Sample X4;4338;5433;5720;5705;5863;5915;6016;5915;5952;5971;6004;5955;5953;5976;5938;5880;
S;E01;Sample X1;4608;6033;6293;6353;6481;6549;6676;6617;6689;6658;6691;6590;6680;6604;6578;6514;
S;E02;Sample X2;4475;6364;6687;6790;6934;7008;7031;7001;7066;7011;7089;6959;6994;7019;6953;6872;
S;E03;Sample X3;4577;5475;5706;5799;5910;5954;6046;6083;6109;6106;6094;6102;6079;6109;5994;5986;
S;E04;Sample X4;3980;5039;5356;5443;5604;5656;5791;5776;5757;5779;5850;5760;5796;5850;5793;5684;
